日期,SKU,類型,來源倉,目的倉,數量,對應事件,登錄人,備註
2026-03-01,A-KT-001,入庫,,LK,200,期初盤點,Bella,
2026-03-01,A-KT-002,入庫,,LK,200,期初盤點,Bella,
2026-03-01,A-KT-003,入庫,,LK,200,期初盤點,Bella,
2026-03-01,A-KT-004,入庫,,LK,200,期初盤點,Bella,
2026-03-01,A-KT-005,入庫,,LK,200,期初盤點,Bella,
2026-03-01,A-KT-006,入庫,,LK,200,期初盤點,Bella,
2026-03-01,A-KT-007,入庫,,LK,400,期初盤點,Bella,
2026-03-01,A-KT-008,入庫,,LK,400,期初盤點,Bella,
2026-03-01,A-KT-009,入庫,,LK,800,期初盤點,Bella,
2026-03-01,A-DO-001,入庫,,LK,150,期初盤點,Bella,
2026-03-01,A-DO-002,入庫,,LK,150,期初盤點,Bella,
2026-03-01,A-DO-003,入庫,,LK,150,期初盤點,Bella,
2026-03-01,C-001,入庫,,SK,1500,期初盤點,Bella,
2026-03-01,C-002,入庫,,SK,500,期初盤點,Bella,偏低需補印
2026-03-01,D-001,入庫,,SK,300,期初盤點,Bella,
2026-03-01,G-001,入庫,,OF,250,期初盤點,Bella,
2026-03-01,R-001,入庫,,LK,40,期初盤點,Bella,
2026-03-01,R-002,入庫,,LK,25,期初盤點,Bella,
2026-03-01,F-001,入庫,,OF,20,期初盤點,Bella,
2026-03-01,F-002,入庫,,OF,15,期初盤點,Bella,
2026-04-15,A-KT-001,組裝消耗,LK,,100,組裝100個風箏探索包,Amy,
2026-04-15,A-KT-002,組裝消耗,LK,,100,組裝100個風箏探索包,Amy,
2026-04-15,A-KT-003,組裝消耗,LK,,100,組裝100個風箏探索包,Amy,
2026-04-15,A-KT-004,組裝消耗,LK,,100,組裝100個風箏探索包,Amy,
2026-04-15,A-KT-005,組裝消耗,LK,,100,組裝100個風箏探索包,Amy,
2026-04-15,A-KT-006,組裝消耗,LK,,100,組裝100個風箏探索包,Amy,
2026-04-15,A-KT-007,組裝消耗,LK,,200,組裝100個風箏探索包,Amy,
2026-04-15,A-KT-008,組裝消耗,LK,,200,組裝100個風箏探索包,Amy,
2026-04-15,A-KT-009,組裝消耗,LK,,400,組裝100個風箏探索包,Amy,
2026-04-15,A-KT-000,組裝產出,,LK,100,組裝100個風箏探索包,Amy,
2026-04-20,C-001,出庫,SK,,80,4月官網團購,Amy,
