SKU,品名,類型,用途,安全庫存,單位,每箱數量,狀態,備註
A-KT-000,風箏探索包(整套),成品,探索包,80,組,50,活躍,需組裝
A-KT-001,風箏_學習日誌,元件,探索包,80,本,50,活躍,
A-KT-002,風箏_手冊,元件,探索包,80,本,50,活躍,
A-KT-003,風箏_底卡,元件,探索包,80,張,100,活躍,
A-KT-004,風箏_模板紙,元件,探索包,80,張,100,活躍,客製模板
A-KT-005,風箏_棉線,元件,探索包,80,條,100,活躍,特訂
A-KT-006,風箏_麻繩(30米),元件,探索包,80,捆,50,活躍,特訂
A-KT-007,風箏_薄棉紙(黃),元件,探索包,160,張,100,活躍,一份2張
A-KT-008,風箏_薄棉紙(藍),元件,探索包,160,張,100,活躍,一份2張
A-KT-009,風箏_紙吸管,元件,探索包,400,根,100,活躍,一份4根
A-DO-000,都市規劃探索包(整套),成品,探索包,100,組,50,活躍,需組裝
A-DO-001,都市規劃_學習日誌,元件,探索包,100,本,50,活躍,
A-DO-002,都市規劃_手冊,元件,探索包,100,本,50,活躍,
A-DO-003,都市規劃_底卡,元件,探索包,100,張,100,活躍,
A-MA-000,迷宮探索包(整套),成品,探索包,80,組,50,汰除中,停產待處置
B-LF-000,直線花(整套),成品,小專題,200,組,100,活躍,
B-LF-001,直線花_花,元件,小專題,200,個,200,活躍,
B-LF-002,直線花_線,元件,小專題,200,m,500,活躍,
B-LF-003,直線花_卡片,元件,小專題,200,張,200,活躍,
C-001,思考課題本-基礎,成品,思考課,1500,本,30,活躍,夏令營主教材
C-002,思考課題本-進階,成品,思考課,1500,本,30,活躍,夏令營主教材
D-001,億萬億顆星星,成品,題本書籍,500,本,30,活躍,
F-001,剪刀,通用材料,行政文具,30,把,12,活躍,
F-002,影印紙(A4),通用材料,行政文具,20,包,5,活躍,
F-003,衛生紙,通用材料,行政文具,30,包,12,活躍,
F-004,OK蹦,通用材料,行政文具,20,盒,10,活躍,醫護用
G-001,NUMI金屬造型徽章,成品,文創禮品,200,個,100,活躍,
M-001,2026夏令營招生DM,成品,行銷文宣,3000,張,500,活躍,
R-001,七巧板,成品,教具材料,30,組,20,活躍,跨課程教具
R-002,大骰子,成品,教具材料,20,個,30,活躍,跨課程教具
R-003,軌道車,成品,教具材料,15,組,10,活躍,跨課程教具
E-001,雜項-未分類,其它,其它,0,個,,活躍,
